# lat	lon	geoid_height_m
48.890000000000001	16.100000000000001	-32768.0000000
48.890000000000001	16.126000000000001	-32768.0000000
48.890000000000001	16.152000000000001	-32768.0000000
48.890000000000001	16.178000000000001	-32768.0000000
48.890000000000001	16.204000000000001	-32768.0000000
48.890000000000001	16.230000000000000	-32768.0000000
48.890000000000001	16.256000000000000	-32768.0000000
48.890000000000001	16.282000000000000	-32768.0000000
48.890000000000001	16.308000000000000	-32768.0000000
48.890000000000001	16.334000000000003	-32768.0000000
48.890000000000001	16.360000000000003	-32768.0000000
48.890000000000001	16.386000000000003	-32768.0000000
48.890000000000001	16.412000000000003	-32768.0000000
48.890000000000001	16.438000000000002	-32768.0000000
48.890000000000001	16.464000000000002	-32768.0000000
48.890000000000001	16.490000000000002	-32768.0000000
48.890000000000001	16.516000000000002	-32768.0000000
48.890000000000001	16.542000000000002	-32768.0000000
48.890000000000001	16.568000000000001	-32768.0000000
48.890000000000001	16.594000000000001	-32768.0000000
48.890000000000001	16.620000000000001	-32768.0000000
48.890000000000001	16.646000000000001	-32768.0000000
48.890000000000001	16.672000000000001	-32768.0000000
48.890000000000001	16.698000000000000	-32768.0000000
48.890000000000001	16.724000000000000	-32768.0000000
48.890000000000001	16.750000000000000	-32768.0000000
48.890000000000001	16.776000000000000	-32768.0000000
48.890000000000001	16.802000000000000	-32768.0000000
48.890000000000001	16.828000000000003	-32768.0000000
48.890000000000001	16.854000000000003	-32768.0000000
48.890000000000001	16.880000000000003	-32768.0000000
48.890000000000001	16.906000000000002	-32768.0000000
48.890000000000001	16.932000000000002	-32768.0000000
48.890000000000001	16.958000000000002	-32768.0000000
48.890000000000001	16.984000000000002	-32768.0000000
48.890000000000001	17.010000000000002	-32768.0000000
48.890000000000001	17.036000000000001	-32768.0000000
48.890000000000001	17.062000000000001	-32768.0000000
48.890000000000001	17.088000000000001	-32768.0000000
48.890000000000001	17.114000000000001	-32768.0000000
48.890000000000001	17.140000000000001	-32768.0000000
48.890000000000001	17.166000000000000	-32768.0000000
48.890000000000001	17.192000000000000	-32768.0000000
48.890000000000001	17.218000000000000	-32768.0000000
48.890000000000001	17.244000000000000	-32768.0000000
48.890000000000001	17.270000000000003	-32768.0000000
48.890000000000001	17.296000000000003	-32768.0000000
48.890000000000001	17.322000000000003	-32768.0000000
48.890000000000001	17.348000000000003	-32768.0000000
48.890000000000001	17.374000000000002	-32768.0000000
48.890000000000001	17.400000000000002	-32768.0000000
48.890000000000001	17.426000000000002	-32768.0000000
48.890000000000001	17.452000000000002	-32768.0000000
48.890000000000001	17.478000000000002	-32768.0000000
48.890000000000001	17.504000000000001	-32768.0000000
48.890000000000001	17.530000000000001	-32768.0000000
48.890000000000001	17.556000000000001	-32768.0000000
48.890000000000001	17.582000000000001	-32768.0000000
48.890000000000001	17.608000000000001	-32768.0000000
48.890000000000001	17.634000000000000	-32768.0000000
48.890000000000001	17.660000000000000	-32768.0000000
48.890000000000001	17.686000000000000	-32768.0000000
48.890000000000001	17.712000000000000	-32768.0000000
48.890000000000001	17.738000000000000	-32768.0000000
48.890000000000001	17.764000000000003	-32768.0000000
48.890000000000001	17.790000000000003	-32768.0000000
48.890000000000001	17.816000000000003	-32768.0000000
48.890000000000001	17.842000000000002	-32768.0000000
48.890000000000001	17.868000000000002	-32768.0000000
48.890000000000001	17.894000000000002	-32768.0000000
48.890000000000001	17.920000000000002	-32768.0000000
48.890000000000001	17.946000000000002	-32768.0000000
48.890000000000001	17.972000000000001	-32768.0000000
48.890000000000001	17.998000000000001	-32768.0000000
48.890000000000001	18.024000000000001	-32768.0000000
48.890000000000001	18.050000000000001	-32768.0000000
48.890000000000001	18.076000000000001	-32768.0000000
48.890000000000001	18.102000000000000	-32768.0000000
48.890000000000001	18.128000000000000	-32768.0000000
48.890000000000001	18.154000000000000	-32768.0000000
48.890000000000001	18.180000000000000	-32768.0000000
48.890000000000001	18.206000000000003	-32768.0000000
48.890000000000001	18.232000000000003	-32768.0000000
48.890000000000001	18.258000000000003	-32768.0000000
48.890000000000001	18.284000000000002	-32768.0000000
48.890000000000001	18.310000000000002	-32768.0000000
48.890000000000001	18.336000000000002	-32768.0000000
48.890000000000001	18.362000000000002	-32768.0000000
48.890000000000001	18.388000000000002	-32768.0000000
48.890000000000001	18.414000000000001	-32768.0000000
48.890000000000001	18.440000000000001	-32768.0000000
48.890000000000001	18.466000000000001	-32768.0000000
48.890000000000001	18.492000000000001	-32768.0000000
48.890000000000001	18.518000000000001	-32768.0000000
48.890000000000001	18.544000000000000	-32768.0000000
48.890000000000001	18.570000000000000	-32768.0000000
48.890000000000001	18.596000000000000	-32768.0000000
48.890000000000001	18.622000000000000	-32768.0000000
48.890000000000001	18.648000000000003	-32768.0000000
48.890000000000001	18.673999999999999	-32768.0000000
48.890000000000001	18.700000000000003	-32768.0000000
48.890000000000001	18.726000000000003	-32768.0000000
48.890000000000001	18.752000000000002	-32768.0000000
48.890000000000001	18.778000000000002	-32768.0000000
48.890000000000001	18.804000000000002	-32768.0000000
48.890000000000001	18.830000000000002	-32768.0000000
48.890000000000001	18.856000000000002	-32768.0000000
48.890000000000001	18.882000000000001	-32768.0000000
48.890000000000001	18.908000000000001	-32768.0000000
48.890000000000001	18.934000000000001	-32768.0000000
48.890000000000001	18.960000000000001	-32768.0000000
48.890000000000001	18.986000000000001	-32768.0000000
48.890000000000001	19.012000000000000	-32768.0000000
48.890000000000001	19.038000000000000	-32768.0000000
48.890000000000001	19.064000000000000	-32768.0000000
48.890000000000001	19.090000000000000	-32768.0000000
48.890000000000001	19.116000000000000	-32768.0000000
48.890000000000001	19.142000000000003	-32768.0000000
48.890000000000001	19.168000000000003	-32768.0000000
48.890000000000001	19.194000000000003	-32768.0000000
48.890000000000001	19.220000000000002	-32768.0000000
48.890000000000001	19.246000000000002	-32768.0000000
48.890000000000001	19.272000000000002	-32768.0000000
48.890000000000001	19.298000000000002	-32768.0000000
48.890000000000001	19.324000000000002	-32768.0000000
48.890000000000001	19.350000000000001	-32768.0000000
48.890000000000001	19.376000000000001	-32768.0000000
48.890000000000001	19.402000000000001	-32768.0000000
48.890000000000001	19.428000000000001	-32768.0000000
48.890000000000001	19.454000000000001	-32768.0000000
48.890000000000001	19.480000000000000	-32768.0000000
48.890000000000001	19.506000000000000	-32768.0000000
48.890000000000001	19.532000000000000	-32768.0000000
48.890000000000001	19.558000000000000	-32768.0000000
48.890000000000001	19.584000000000003	-32768.0000000
48.890000000000001	19.609999999999999	-32768.0000000
48.890000000000001	19.636000000000003	-32768.0000000
48.890000000000001	19.662000000000003	-32768.0000000
48.890000000000001	19.688000000000002	-32768.0000000
48.890000000000001	19.714000000000002	-32768.0000000
48.890000000000001	19.740000000000002	-32768.0000000
48.890000000000001	19.766000000000002	-32768.0000000
48.890000000000001	19.792000000000002	-32768.0000000
48.890000000000001	19.818000000000001	-32768.0000000
48.890000000000001	19.844000000000001	-32768.0000000
48.890000000000001	19.870000000000001	-32768.0000000
48.890000000000001	19.896000000000001	-32768.0000000
48.890000000000001	19.922000000000001	-32768.0000000
48.890000000000001	19.948000000000000	-32768.0000000
48.890000000000001	19.974000000000000	-32768.0000000
48.890000000000001	20.000000000000000	-32768.0000000
48.890000000000001	20.026000000000000	-32768.0000000
48.890000000000001	20.052000000000000	-32768.0000000
48.890000000000001	20.078000000000003	-32768.0000000
48.890000000000001	20.103999999999999	-32768.0000000
48.890000000000001	20.130000000000003	-32768.0000000
48.890000000000001	20.156000000000002	-32768.0000000
48.890000000000001	20.182000000000002	-32768.0000000
48.890000000000001	20.208000000000002	-32768.0000000
48.890000000000001	20.234000000000002	-32768.0000000
48.890000000000001	20.260000000000002	-32768.0000000
48.890000000000001	20.286000000000001	-32768.0000000
48.890000000000001	20.312000000000001	-32768.0000000
48.890000000000001	20.338000000000001	-32768.0000000
48.890000000000001	20.364000000000001	-32768.0000000
48.890000000000001	20.390000000000001	-32768.0000000
48.890000000000001	20.416000000000000	-32768.0000000
48.890000000000001	20.442000000000000	-32768.0000000
48.890000000000001	20.468000000000000	-32768.0000000
48.890000000000001	20.494000000000000	-32768.0000000
48.890000000000001	20.520000000000003	-32768.0000000
48.890000000000001	20.545999999999999	-32768.0000000
48.890000000000001	20.572000000000003	-32768.0000000
48.890000000000001	20.598000000000003	-32768.0000000
48.890000000000001	20.624000000000002	-32768.0000000
48.890000000000001	20.650000000000002	-32768.0000000
48.890000000000001	20.676000000000002	-32768.0000000
48.890000000000001	20.702000000000002	-32768.0000000
48.890000000000001	20.728000000000002	-32768.0000000
48.890000000000001	20.754000000000001	-32768.0000000
48.890000000000001	20.780000000000001	-32768.0000000
48.890000000000001	20.806000000000001	-32768.0000000
48.890000000000001	20.832000000000001	-32768.0000000
48.890000000000001	20.858000000000001	-32768.0000000
48.890000000000001	20.884000000000000	-32768.0000000
48.890000000000001	20.910000000000000	-32768.0000000
48.890000000000001	20.936000000000000	-32768.0000000
48.890000000000001	20.962000000000003	-32768.0000000
48.890000000000001	20.988000000000000	-32768.0000000
48.890000000000001	21.014000000000003	-32768.0000000
48.890000000000001	21.039999999999999	-32768.0000000
48.890000000000001	21.066000000000003	-32768.0000000
48.890000000000001	21.092000000000002	-32768.0000000
48.890000000000001	21.118000000000002	-32768.0000000
48.890000000000001	21.144000000000002	-32768.0000000
48.890000000000001	21.170000000000002	-32768.0000000
48.890000000000001	21.196000000000002	-32768.0000000
48.890000000000001	21.222000000000001	-32768.0000000
48.890000000000001	21.248000000000001	-32768.0000000
48.890000000000001	21.274000000000001	-32768.0000000
48.890000000000001	21.300000000000001	-32768.0000000
48.890000000000001	21.326000000000001	-32768.0000000
48.890000000000001	21.352000000000000	-32768.0000000
48.890000000000001	21.378000000000000	-32768.0000000
48.890000000000001	21.404000000000000	-32768.0000000
48.890000000000001	21.430000000000000	-32768.0000000
48.890000000000001	21.456000000000003	-32768.0000000
48.890000000000001	21.481999999999999	-32768.0000000
48.890000000000001	21.508000000000003	-32768.0000000
48.890000000000001	21.534000000000002	-32768.0000000
48.890000000000001	21.560000000000002	-32768.0000000
48.890000000000001	21.586000000000002	-32768.0000000
48.890000000000001	21.612000000000002	-32768.0000000
48.890000000000001	21.638000000000002	-32768.0000000
48.890000000000001	21.664000000000001	-32768.0000000
48.890000000000001	21.690000000000001	-32768.0000000
48.890000000000001	21.716000000000001	-32768.0000000
48.890000000000001	21.742000000000001	-32768.0000000
48.890000000000001	21.768000000000001	-32768.0000000
