# lat	lon	lat_offset_arcsec	lon_offset_arcsec
48.888888888888893	16.111111111111111	0.0000000	-0.0000000
48.888888888888893	16.138888888888889	0.0000000	-0.0000000
48.888888888888893	16.166666666666668	0.0000000	-0.0000000
48.888888888888893	16.194444444444443	0.0000000	-0.0000000
48.888888888888893	16.222222222222221	0.0000000	-0.0000000
48.888888888888893	16.250000000000000	0.0000000	-0.0000000
48.888888888888893	16.277777777777779	0.0000000	-0.0000000
48.888888888888893	16.305555555555554	0.0000000	-0.0000000
48.888888888888893	16.333333333333332	0.0000000	-0.0000000
48.888888888888893	16.361111111111111	0.0000000	-0.0000000
48.888888888888893	16.388888888888889	0.0000000	-0.0000000
48.888888888888893	16.416666666666668	0.0000000	-0.0000000
48.888888888888893	16.444444444444443	0.0000000	-0.0000000
48.888888888888893	16.472222222222221	0.0000000	-0.0000000
48.888888888888893	16.500000000000000	0.0000000	-0.0000000
48.888888888888893	16.527777777777779	0.0000000	-0.0000000
48.888888888888893	16.555555555555554	0.0000000	-0.0000000
48.888888888888893	16.583333333333332	0.0000000	-0.0000000
48.888888888888893	16.611111111111111	0.0000000	-0.0000000
48.888888888888893	16.638888888888889	0.0000000	-0.0000000
48.888888888888893	16.666666666666668	0.0000000	-0.0000000
48.888888888888893	16.694444444444443	0.0000000	-0.0000000
48.888888888888893	16.722222222222221	0.0000000	-0.0000000
48.888888888888893	16.750000000000000	0.0000000	-0.0000000
48.888888888888893	16.777777777777779	0.0000000	-0.0000000
48.888888888888893	16.805555555555554	0.0000000	-0.0000000
48.888888888888893	16.833333333333332	0.0000000	-0.0000000
48.888888888888893	16.861111111111111	0.0000000	-0.0000000
48.888888888888893	16.888888888888889	0.0000000	-0.0000000
48.888888888888893	16.916666666666668	0.0000000	-0.0000000
48.888888888888893	16.944444444444443	0.0000000	-0.0000000
48.888888888888893	16.972222222222221	0.0000000	-0.0000000
48.888888888888893	17.000000000000000	0.0000000	-0.0000000
48.888888888888893	17.027777777777779	0.0000000	-0.0000000
48.888888888888893	17.055555555555554	0.0000000	-0.0000000
48.888888888888893	17.083333333333332	0.0000000	-0.0000000
48.888888888888893	17.111111111111111	0.0000000	-0.0000000
48.888888888888893	17.138888888888889	0.0000000	-0.0000000
48.888888888888893	17.166666666666668	0.0000000	-0.0000000
48.888888888888893	17.194444444444443	0.0000000	-0.0000000
48.888888888888893	17.222222222222221	0.0000000	-0.0000000
48.888888888888893	17.250000000000000	0.0000000	-0.0000000
48.888888888888893	17.277777777777779	0.0000000	-0.0000000
48.888888888888893	17.305555555555554	0.0000000	-0.0000000
48.888888888888893	17.333333333333332	0.0000000	-0.0000000
48.888888888888893	17.361111111111111	0.0000000	-0.0000000
48.888888888888893	17.388888888888889	0.0000000	-0.0000000
48.888888888888893	17.416666666666668	0.0000000	-0.0000000
48.888888888888893	17.444444444444443	0.0000000	-0.0000000
48.888888888888893	17.472222222222221	0.0000000	-0.0000000
48.888888888888893	17.500000000000000	0.0000000	-0.0000000
48.888888888888893	17.527777777777779	0.0000000	-0.0000000
