// wgseov-wgs84-eov(fi, la, dy, dx, dz)
46.8450	16.0464	0.76602	-0.54400	0.30863
46.8000	16.1118	0.83100	-0.27025	0.36026
46.8450	16.1118	0.77869	-0.52559	0.29702
46.8900	16.1118	0.76812	-0.34385	0.28976
46.8000	16.1772	0.71546	-0.25174	0.38857
46.8450	16.1772	0.67472	-0.50512	0.29938
46.8900	16.1772	0.66436	-0.32329	0.26918
46.9350	16.1772	0.63803	-0.56583	0.29898
46.9800	16.1772	0.61963	-0.38328	0.29976
46.7550	16.2426	0.75128	-0.40397	0.51699
46.8000	16.2426	0.74639	-0.23473	0.41387
46.8450	16.2426	0.71933	-0.48764	0.37873
46.8900	16.2426	0.70532	-0.30821	0.31459
46.9350	16.2426	0.67369	-0.56206	0.29144
46.9800	16.2426	0.66867	-0.37269	0.28428
47.0250	16.2426	0.64760	-0.60672	0.30211
46.7100	16.3080	0.64884	-0.11754	0.58327
46.7550	16.3080	0.63550	-0.38600	0.54921
46.8000	16.3080	0.63230	-0.22289	0.48714
46.8450	16.3080	0.60528	-0.46582	0.40706
46.8900	16.3080	0.60296	-0.29530	0.32897
46.9350	16.3080	0.57840	-0.54596	0.30787
46.9800	16.3080	0.57211	-0.35628	0.29477
47.0250	16.3080	0.55216	-0.59090	0.29566
46.5750	16.3734	0.69955	-0.18105	0.66038
46.6200	16.3734	0.70180	-0.01453	0.67040
46.6650	16.3734	0.69245	-0.26672	0.65641
46.7100	16.3734	0.69929	-0.09808	0.64041
46.7550	16.3734	0.67309	-0.36128	0.61340
46.8000	16.3734	0.66768	-0.20677	0.55439
46.8450	16.3734	0.65481	-0.46023	0.50437
46.8900	16.3734	0.64030	-0.29110	0.42134
46.9350	16.3734	0.62592	-0.53907	0.35430
46.9800	16.3734	0.62947	-0.34457	0.33525
47.0250	16.3734	0.60274	-0.59029	0.33319
47.0700	16.3734	0.56851	-0.40167	0.27913
47.1150	16.3734	0.54358	-0.65040	0.26205
47.1600	16.3734	0.54174	-0.44091	0.16397
47.2050	16.3734	0.50377	-0.68090	0.11888
47.2500	16.3734	0.48448	-0.47179	0.11978
47.2950	16.3734	0.48914	-0.25446	0.08868
47.3400	16.3734	0.49404	-0.50081	0.08456
47.3850	16.3734	0.50899	-0.31125	0.08944
47.6100	16.3734	0.38088	-0.83788	0.41369
47.6550	16.3734	0.35063	-0.62413	0.44252
46.5300	16.4388	0.55923	0.07489	0.68425
46.5750	16.4388	0.55642	-0.17419	0.69233
46.6200	16.4388	0.58185	-0.00620	0.68241
46.6650	16.4388	0.57400	-0.25882	0.67647
46.7100	16.4388	0.56999	-0.09651	0.63853
46.7550	16.4388	0.56130	-0.35193	0.63858
46.8000	16.4388	0.56602	-0.19454	0.59162
46.8450	16.4388	0.54465	-0.46001	0.53866
46.8900	16.4388	0.54530	-0.27878	0.46368
46.9350	16.4388	0.53044	-0.52055	0.42070
46.9800	16.4388	0.52518	-0.33975	0.39771
47.0250	16.4388	0.50001	-0.58007	0.37370
47.0700	16.4388	0.47303	-0.39493	0.33770
47.1150	16.4388	0.44173	-0.62806	0.28668
47.1600	16.4388	0.43721	-0.44085	0.21065
47.2050	16.4388	0.39296	-0.66603	0.11262
47.2500	16.4388	0.39608	-0.46900	0.09158
47.2950	16.4388	0.39821	-0.26065	0.10653
47.3400	16.4388	0.39900	-0.50390	0.01847
47.3850	16.4388	0.40654	-0.32311	0.09140
47.4300	16.4388	0.39632	-0.60506	0.16832
47.6100	16.4388	0.28763	-0.79521	0.41493
47.6550	16.4388	0.26748	-0.59465	0.38182
47.7000	16.4388	0.23334	-0.81725	0.46269
46.4850	16.5042	0.55106	-0.13185	0.69698
46.5300	16.5042	0.57243	0.05534	0.70013
46.5750	16.5042	0.59128	-0.17986	0.69427
46.6200	16.5042	0.61198	-0.00188	0.68740
46.6650	16.5042	0.60475	-0.25442	0.68252
46.7100	16.5042	0.60399	-0.09690	0.65764
46.7550	16.5042	0.59089	-0.35304	0.64774
46.8000	16.5042	0.59785	-0.19324	0.60284
46.8450	16.5042	0.58508	-0.45221	0.57193
46.8900	16.5042	0.58998	-0.28537	0.53001
46.9350	16.5042	0.58074	-0.51445	0.48508
46.9800	16.5042	0.57177	-0.33683	0.46115
47.0250	16.5042	0.55327	-0.57725	0.43020
47.0700	16.5042	0.51663	-0.38511	0.38825
47.1150	16.5042	0.47605	-0.64013	0.34829
47.1600	16.5042	0.46095	-0.44671	0.28232
47.2050	16.5042	0.44951	-0.66660	0.19734
47.2500	16.5042	0.44114	-0.46116	0.13635
47.2950	16.5042	0.45183	-0.26630	0.13536
47.3400	16.5042	0.44759	-0.50696	0.11336
47.3850	16.5042	0.45882	-0.33347	0.14134
47.4300	16.5042	0.43172	-0.61263	0.22732
47.4750	16.5042	0.41468	-0.43777	0.25030
47.5650	16.5042	0.37781	-0.50571	0.41622
47.6100	16.5042	0.34758	-0.77066	0.42316
47.6550	16.5042	0.32661	-0.56983	0.42310
47.7000	16.5042	0.29211	-0.79307	0.47903
47.7450	16.5042	0.27248	-0.59264	0.52196
47.7900	16.5042	0.23792	-0.81544	0.54187
46.4400	16.5696	0.58985	0.10393	0.71258
46.4850	16.5696	0.59689	-0.13598	0.70879
46.5300	16.5696	0.62181	0.04352	0.70600
46.5750	16.5696	0.62353	-0.18028	0.69619
46.6200	16.5696	0.63373	0.00821	0.69138
46.6650	16.5696	0.62833	-0.25073	0.68355
46.7100	16.5696	0.63203	-0.09650	0.67073
46.7550	16.5696	0.62874	-0.34483	0.62189
46.8000	16.5696	0.63416	-0.18411	0.60004
46.8450	16.5696	0.62921	-0.44308	0.59118
46.8900	16.5696	0.63057	-0.27513	0.54232
46.9350	16.5696	0.61717	-0.51900	0.53145
46.9800	16.5696	0.60970	-0.35107	0.50357
47.0250	16.5696	0.59007	-0.59010	0.49068
47.0700	16.5696	0.56798	-0.40545	0.44278
47.1150	16.5696	0.52335	-0.62988	0.37288
47.1600	16.5696	0.51587	-0.43476	0.31696
47.2050	16.5696	0.49445	-0.66386	0.29204
47.2500	16.5696	0.49680	-0.46653	0.23211
47.2950	16.5696	0.50227	-0.27669	0.20417
47.3400	16.5696	0.49722	-0.51627	0.18523
47.3850	16.5696	0.50935	-0.33660	0.20027
47.4300	16.5696	0.46056	-0.60150	0.26231
47.4750	16.5696	0.44957	-0.40327	0.30034
47.5200	16.5696	0.42128	-0.64575	0.38536
47.5650	16.5696	0.38838	-0.45322	0.43837
47.6100	16.5696	0.39580	-0.72253	0.42437
47.6550	16.5696	0.38623	-0.54496	0.46337
47.7000	16.5696	0.35258	-0.76839	0.50536
47.7450	16.5696	0.33155	-0.56804	0.57034
47.7900	16.5696	0.29705	-0.79084	0.55631
46.3950	16.6350	0.48172	-0.11631	0.72804
46.4400	16.6350	0.48953	0.09158	0.72931
46.4850	16.6350	0.50184	-0.14861	0.72558
46.5300	16.6350	0.52264	0.04172	0.71084
46.5750	16.6350	0.51456	-0.19016	0.69409
46.6200	16.6350	0.52359	-0.00064	0.68733
46.6650	16.6350	0.50936	-0.24446	0.67357
46.7100	16.6350	0.52385	-0.08200	0.64179
46.7550	16.6350	0.51271	-0.33502	0.62801
46.8000	16.6350	0.53292	-0.17888	0.59222
46.8450	16.6350	0.53211	-0.43134	0.56742
46.8900	16.6350	0.52527	-0.26878	0.54861
46.9350	16.6350	0.51504	-0.51594	0.52879
46.9800	16.6350	0.51040	-0.33121	0.50797
47.0250	16.6350	0.48698	-0.56834	0.49714
47.0700	16.6350	0.46877	-0.38469	0.46030
47.1150	16.6350	0.44141	-0.62004	0.42745
47.1600	16.6350	0.43488	-0.42574	0.39959
47.2050	16.6350	0.41382	-0.65857	0.32272
47.2500	16.6350	0.40221	-0.47886	0.32785
47.2950	16.6350	0.39378	-0.27455	0.29097
47.3400	16.6350	0.39124	-0.51359	0.27208
47.3850	16.6350	0.36559	-0.34127	0.31018
47.4300	16.6350	0.33746	-0.58943	0.34227
47.4750	16.6350	0.32883	-0.39837	0.41736
47.5200	16.6350	0.30234	-0.63593	0.47343
47.5650	16.6350	0.28698	-0.42838	0.51650
47.6100	16.6350	0.29838	-0.70260	0.48056
47.6550	16.6350	0.28152	-0.50783	0.51562
47.7000	16.6350	0.26904	-0.73898	0.54066
47.7450	16.6350	0.24893	-0.56526	0.60870
47.7900	16.6350	0.22682	-0.80261	0.60172
46.3500	16.7004	0.53232	0.11848	0.72336
